num_of_iter,cbirrt_result,gui_id,valve_position_x,valve_position_y,valve_position_z,valve_quat_x,valve_quat_y,valve_quat_z,valve_quat_w,rms_err,angle_err,cycle_success_code,skipped,time,notes
1,-1,KG-EX,1.66099858284,-0.0347178429365,0.0953191816807,0.353939086199,-0.160427898169,0.920006811619,-0.0507687591016,0.0,0.0,retry,-1,10:56:05,
2,-1,KG-EX,0.551758825779,-0.0964740291238,0.0552862770855,0.187679260969,-0.0636646896601,0.979640424252,0.0320616364479,0.0,0.0,retry,-1,10:56:13,
3,1,KG-EX,0.5567497015,-0.0026043721009,0.0552341341972,0.18506000936,-0.07550226897,0.979507148266,-0.0248578172177,0.0,0.0,[['MISALIGN'| 'False negative']| ['MISALIGN'| 'False negative']| ['MISALIGN'| 'False negative']],-1,10:57:47,
4,1,KG-EX,0.574806571007,0.0054616779089,0.0548100173473,0.198742225766,-0.0667722150683,0.977694511414,-0.0125093758106,0.0,0.0,[['MISALIGN'| 'False negative']| ['MISALIGN'| 'Correct']| ['MISALIGN'| 'False negative']],-1,12:28:23,
5,-1,KG-EX,1.57049822807,0.0617721751332,0.1410702914,0.203008413315,-0.02936196886,0.978245973587,0.0309888608754,0.0,0.0,retry,-1,12:39:54,
6,1,KG-EX,0.569885253906,0.00629944633693,0.110506914556,0.200576305389,-0.0251852571964,0.978667676449,0.0366672538221,0.0,0.0,[['COMPLETE'| 'Correct']| ['COMPLETE'| 'Correct']| ['COMPLETE'| 'Correct']],-1,12:41:36,
7,1,KG-EX,0.57866692543,0.0235213506967,0.111137986183,0.207317903638,-0.0373120382428,0.977455794811,0.0143980039284,0.0,0.0,[['MISALIGN'| 'False negative']| ['MISALIGN'| 'False negative']| ['MISALIGN'| 'False negative']],-1,12:48:15,
8,-1,KG-EX,1.57024693489,0.0919288098812,0.147703573108,0.136690273881,0.10073839128,0.980735301971,0.0965711176395,0.0,0.0,retry,-1,12:50:29,
9,-1,KG-EX,1.57024693489,0.00943133234978,0.147703573108,0.13669025898,0.10073838383,0.980735242367,0.096571110189,0.0,0.0,retry,-1,12:50:40,
10,-1,KG-EX,0.562572658062,-0.0567202121019,0.109839163721,0.206202089787,0.0661253705621,0.975548565388,0.0375917889178,0.0,0.0,retry,-1,12:50:46,
11,1,KG-EX,0.564608991146,0.000655412033666,0.112595036626,0.204216390848,0.0750970616937,0.975647747517,-0.0277042128146,0.0,0.0,[['MISALIGN'| 'False negative']| ['MISALIGN'| 'False negative']| ['MISALIGN'| 'False negative']],-1,12:52:23,
